cell_id,centroid_x,centroid_y,reddot,blackdot,score
11406,8272.94,13906.23,NaN,NaN,NaN
11407,8133.50,13737.03,3,5,0.0000
11408,8214.87,13940.35,0,0,0.0000
11409,8000.68,13361.49,NaN,NaN,NaN
11410,8223.04,13598.72,NaN,NaN,NaN
11411,8171.98,13815.50,NaN,NaN,NaN
11412,7954.32,13468.33,0,0,0.0000
11413,8198.10,13870.73,NaN,NaN,NaN
11414,7998.41,13720.04,NaN,NaN,NaN
11415,8042.79,13605.98,NaN,NaN,NaN
11416,8057.60,13542.46,NaN,NaN,NaN
11417,7965.00,13751.70,NaN,NaN,NaN
11418,8110.71,13801.68,0,0,0.0000
11419,8294.58,13841.72,NaN,NaN,NaN
11420,8290.47,13781.29,2,2,0.0000
11421,8327.40,13214.14,NaN,NaN,NaN
11422,8083.41,13747.64,NaN,NaN,NaN
11423,8116.95,13330.01,NaN,NaN,NaN
11424,8103.42,13367.11,NaN,NaN,NaN
11425,8008.86,13514.79,NaN,NaN,NaN
11426,7980.89,13408.06,0,0,0.0000
11427,8122.15,13602.61,0,0,0.0000
11428,8241.03,13341.35,NaN,NaN,NaN
11429,8155.87,13333.20,NaN,NaN,NaN
11430,8258.13,13870.56,0,0,0.0000
11431,8275.11,13731.42,0,0,0.0000
11432,8030.68,13749.71,NaN,NaN,NaN
11433,8339.73,13872.05,NaN,NaN,NaN
11434,8186.73,13592.83,0,0,0.0000
11435,8045.40,13786.62,NaN,NaN,NaN
11436,7903.68,13552.96,NaN,NaN,NaN
11437,8042.92,13308.36,NaN,NaN,NaN
11438,8069.28,13823.62,NaN,NaN,NaN
11439,8138.58,13631.24,0,0,0.0000
11440,8013.77,13638.90,NaN,NaN,NaN
11441,9329.80,13681.82,0,0,0.0000
11442,9381.94,13884.70,3,1,0.0000
11443,9421.47,13811.85,2,3,0.0000
11444,9414.85,13929.92,NaN,NaN,NaN
11445,9425.73,13688.87,0,0,0.0000
11446,9495.82,13831.95,0,0,0.0000
11447,9372.92,13606.14,NaN,NaN,NaN
11448,9373.63,13653.70,0,0,0.0000
11449,9374.01,13775.40,0,0,0.0000
11450,10847.52,13635.89,NaN,NaN,NaN
11451,10290.66,13397.93,0,0,0.0000
11452,10398.41,13437.86,NaN,NaN,NaN
11453,10263.72,13324.42,NaN,NaN,NaN
11454,10189.06,13221.06,0,0,0.0000
11455,10883.70,13557.87,0,0,0.0000
11456,10939.79,13524.29,0,0,0.0000
11457,11604.79,13253.51,3,8,2.6667
11458,11638.25,13314.52,0,0,0.0000
11459,12337.35,13926.53,NaN,NaN,NaN
11460,11907.20,13251.33,NaN,NaN,NaN
11461,11802.25,13302.54,NaN,NaN,NaN
11462,12076.63,13922.82,NaN,NaN,NaN
11463,12329.69,13828.32,NaN,NaN,NaN
11464,12230.18,13899.73,NaN,NaN,NaN
11465,12271.21,13935.13,0,0,0.0000
11466,12057.60,13189.04,NaN,NaN,NaN
11467,12160.97,13920.15,0,0,0.0000
11468,11834.94,13231.95,NaN,NaN,NaN
11469,12020.36,13228.03,NaN,NaN,NaN
11470,11740.14,13318.03,0,0,0.0000
11471,11700.23,13304.78,0,0,0.0000
11472,12216.51,13836.03,0,0,0.0000
11473,12176.08,13873.24,2,2,0.0000
11474,13106.62,13488.91,NaN,NaN,NaN
11475,13022.69,13826.03,NaN,NaN,NaN
11476,13038.35,13603.75,0,0,0.0000
11477,13107.46,13203.93,0,0,0.0000
11478,12940.22,13215.21,0,0,0.0000
11479,12997.73,13316.33,NaN,NaN,NaN
11480,12861.71,13916.84,NaN,NaN,NaN
11481,12628.39,13826.72,4,7,0.0000
11482,12821.68,13599.27,2,3,0.0000
11483,12762.32,13289.82,NaN,NaN,NaN
11484,12789.08,13762.85,0,0,0.0000
11485,13149.29,13343.39,NaN,NaN,NaN
11486,12871.74,13335.05,NaN,NaN,NaN
11487,13085.53,13297.15,NaN,NaN,NaN
11488,12859.31,13511.67,0,0,0.0000
11489,12736.02,13458.15,NaN,NaN,NaN
11490,13153.50,13728.52,3,9,3.0000
11491,12931.02,13468.06,0,0,0.0000
11492,12949.20,13642.57,NaN,NaN,NaN
11493,12947.04,13716.72,0,0,0.0000
11494,12453.63,13878.90,NaN,NaN,NaN
11495,12673.33,13927.81,NaN,NaN,NaN
11496,12542.38,13839.94,0,0,0.0000
11497,13095.14,13847.15,4,8,2.0000
11498,12482.54,13754.23,0,0,0.0000
11499,12644.70,13737.04,0,0,0.0000
11500,12730.59,13622.41,0,0,0.0000
11501,12660.31,13502.37,NaN,NaN,NaN
11502,12697.81,13719.76,0,0,0.0000
11503,12691.08,13571.44,4,6,0.0000
11504,12878.50,13777.49,0,0,0.0000
11505,12841.86,13249.46,NaN,NaN,NaN
11506,12913.90,13401.61,2,5,2.5000
11507,12686.49,13313.84,0,0,0.0000
11508,12801.43,13446.41,0,0,0.0000
11509,12657.19,13370.96,NaN,NaN,NaN
11510,12754.63,13843.41,0,0,0.0000
11511,12464.53,13821.99,0,0,0.0000
11512,12879.03,13666.59,0,0,0.0000
11513,12733.17,13890.81,NaN,NaN,NaN
11514,12566.25,13562.72,0,0,0.0000
11515,12789.52,13884.59,NaN,NaN,NaN
11516,12740.83,13666.84,0,0,0.0000
11517,12923.03,13865.15,3,5,0.0000
11518,12828.13,13684.54,0,0,0.0000
11519,12518.01,13922.34,NaN,NaN,NaN
11520,13183.72,13668.53,0,0,0.0000
11521,12681.11,13400.95,0,0,0.0000
11522,13315.43,13237.12,NaN,NaN,NaN
11523,13305.02,13447.52,0,0,0.0000
11524,13200.40,13951.91,3,7,2.3333
11525,13547.61,13369.01,0,0,0.0000
11526,13583.35,13184.27,4,7,0.0000
11527,13484.29,13240.53,2,4,2.0000
11528,13465.23,13503.64,NaN,NaN,NaN
11529,13719.59,13750.95,NaN,NaN,NaN
11530,13341.20,13813.97,NaN,NaN,NaN
