t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
122.13,3.03,0.453,2.185
122.64,3.027,0.467,2.185
123.24,3.092,0.453,2.185
123.76,3.089,0.458,2.185
124.9,2.942,0.543,1.185
125.42,3.021,0.639,2.185
126.14,3.019,0.453,2.185
126.66,3.025,0.467,2.185
127.29,3.028,0.509,2.185
127.85,3.03,0.467,2.185
128.52,3.032,0.453,2.185
129.03,3.062,0.453,2.185
129.57,2.938,0.466,0.531
130.1,2.935,0.453,2.185
130.6,3.027,0.467,2.185
131.11,3.031,0.453,2.187
131.62,3.018,0.467,2.185
132.18,2.939,0.453,0.531
132.7,3.06,0.453,2.185
133.25,2.953,0.538,1.185
133.78,3.012,0.467,2.185
134.29,2.958,0.453,0.531
134.92,2.937,0.453,2.185
135.43,3.029,0.467,2.185
135.94,2.961,0.534,1.185
136.46,3.028,0.453,2.185
136.97,2.931,0.453,2.185
137.48,2.987,0.453,2.181
137.99,2.919,0.453,2.185
138.5,3.006,0.453,2.181
139.02,3.027,0.519,2.185
139.53,3.029,0.467,2.185
140.04,3.022,0.467,2.185
140.58,2.939,0.594,1.185
141.1,3.02,0.467,2.185
141.61,3.015,0.513,2.185
142.13,2.924,0.552,1.185
142.66,3.02,0.467,2.185
143.19,3.028,0.472,2.187
143.7,3.024,0.467,2.185
144.21,3.032,0.453,2.187
144.72,3.033,0.467,2.185
145.23,2.928,0.548,1.185
145.84,3.025,0.467,2.185
146.41,3.024,0.453,2.185
146.92,3.099,0.453,2.185
147.48,2.943,0.539,1.185
148.03,2.969,0.463,2.185
148.93,2.941,0.529,0.581
149.45,2.912,0.482,2.181
149.96,2.998,0.529,2.185
150.5,2.907,0.453,0.531
151.04,2.958,0.453,0.531
151.87,2.958,0.563,1.185
152.39,3.06,0.453,2.185
152.9,3.031,0.555,2.185
153.46,2.943,0.453,0.531
154.0,3.045,0.467,2.185
155.15,3.044,0.512,2.185
155.67,3.02,0.467,2.185
156.68,3.031,0.453,2.185
157.19,3.032,0.467,2.185
158.09,2.943,0.539,1.185
158.62,2.903,0.482,2.181
159.13,3.012,0.467,2.185
159.64,3.026,0.539,2.185
160.17,3.024,0.467,2.185
160.68,3.089,0.466,2.185
161.88,2.943,0.994,1.185
162.49,3.015,0.459,2.185
163.58,2.927,0.453,0.531
164.1,3.032,0.866,2.185
165.14,3.035,0.517,2.185
165.66,3.084,0.462,2.185
166.32,2.933,0.55,1.185
166.84,2.928,0.453,2.181
167.35,3.011,0.505,2.185
167.87,2.958,0.453,2.181
168.37,3.012,0.467,2.185
168.88,3.045,0.462,2.185
170.31,2.941,0.55,1.185
170.84,2.911,0.453,2.185
171.35,3.014,0.467,2.185
171.86,3.027,0.453,2.185
172.38,3.029,0.467,2.185
173.31,3.027,0.453,2.185
173.83,3.085,0.467,2.185
174.92,2.943,0.572,1.185
175.45,3.092,0.469,2.185
176.3,3.031,0.453,2.185
176.83,3.088,0.47,2.185
178.35,2.939,0.453,0.531
178.96,3.024,0.467,2.185
179.79,3.027,0.453,0.531
180.3,3.023,0.453,2.185
180.83,2.943,0.65,1.185
