#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:12:38       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:39       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:40       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:41       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:42       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:43       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:44       0      0      0      0      0      0      0     92     13      0 
 20260722    03:12:45       0      3      0      0      0      0      0    685     15      0 
 20260722    03:12:46       0      0      0      0      0      0      0   1469     15      0 
 20260722    03:12:47       0     37     14      0      0      0      0   9705     15      0 
 20260722    03:12:48       0     88     48      0      0      0      0   1287     15      0 
 20260722    03:12:49       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:12:50       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:12:51       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:12:52       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:12:53       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:12:54       0     16      8      0      0      0      0   2785     15      0 
 20260722    03:12:55       0     74     40      0      0      0      0   2785     15      0 
 20260722    03:12:56       0      8      6      0      0      0      0   2781     15      0 
 20260722    03:12:57       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:12:58       0     34     19      0      0      0      0   2785     15      0 
 20260722    03:12:59       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:00       0     18      9      0      0      0      0   2785     15      0 
 20260722    03:13:01       0     68     36      0      0      0      0   2785     15      0 
 20260722    03:13:02       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:03       0     31     16      0      0      0      0   2785     15      0 
 20260722    03:13:04       0     49     24      0      0      0      0   2785     15      0 
 20260722    03:13:06       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:07       0     50     27      0      0      0      0   2785     15      0 
 20260722    03:13:08       0      2      2      0      0      0      0   2785     15      0 
 20260722    03:13:09       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:13:10       0     37      9      0      0      0      0   1207     15      0 
 20260722    03:13:11       0     21     11      0      0      0      0   2785     15      0 
 20260722    03:13:12       0     15      1      0      0      0      0   2785     15      0 
 20260722    03:13:13       0     17      2      0      0      0      0   2783     15      0 
 20260722    03:13:14       0     43     20      0      0      0      0   2781     15      0 
 20260722    03:13:15       0     82     44      0      0      0      0   2785     15      0 
 20260722    03:13:16       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:13:17       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:18       0      9      4      0      0      0      0   2785     15      0 
 20260722    03:13:19       0      3      1      0      0      0      0   2787     15      0 
 20260722    03:13:20       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:13:21       0      0      0      0      0      0      0   2787     15      0 
 20260722    03:13:22       0      1      1      0      0      0      0   2787     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:13:23       0      6      3      0      0      0      0   2785     15      0 
 20260722    03:13:24       0     35     12      0      0      0      0   2785     15      0 
 20260722    03:13:25       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:13:26       0     78     42      0      0      0      0   2781     15      0 
 20260722    03:13:27       0     90     48      0      0      0      0   2785     15      0 
 20260722    03:13:28       0     27      8      0      0      0      0   2783     15      0 
 20260722    03:13:29       0     50     28      0      0      0      0   2781     15      0 
 20260722    03:13:30       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:31       0     46     23      0      0      0      0   2785     15      0 
 20260722    03:13:32       0     71     38      0      0      0      0   2783     15      0 
 20260722    03:13:33       0     83     45      0      0      0      0   2785     15      0 
 20260722    03:13:34       0     23      8      0      0      0      0   2787     15      0 
 20260722    03:13:35       0     19      9      0      0      0      0   2785     15      0 
 20260722    03:13:36       0     22     10      0      0      0      0   2785     15      0 
 20260722    03:13:37       0     62     34      0      0      0      0   2785     15      0 
 20260722    03:13:38       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:39       0     86     47      0      0      0      0   2781     15      0 
 20260722    03:13:40       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:13:41       0     79     43      0      0      0      0   2785     15      0 
 20260722    03:13:42       0     28      8      0      0      0      0   2785     15      0 
 20260722    03:13:43       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:44       0     20      4      0      0      0      0   2785     15      0 
 20260722    03:13:45       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:13:46       0     18      5      0      0      0      0   2785     15      0 
 20260722    03:13:47       0      2      1      0      0      0      0   2785     15      0 
