t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
121.33,3.04,0.453,2.185
121.84,3.036,0.484,2.187
122.35,3.036,0.453,2.181
122.86,2.952,0.453,2.185
123.37,3.04,0.467,2.185
123.87,2.944,0.556,1.185
124.4,2.939,0.453,2.185
124.91,3.103,0.467,2.185
125.43,2.992,0.453,0.531
125.94,2.955,0.453,2.185
126.45,2.977,0.453,0.531
127.02,2.955,0.453,2.185
127.53,3.09,0.453,2.185
128.04,3.04,0.467,2.185
128.55,3.022,0.453,2.181
129.06,3.042,0.467,2.185
129.58,3.042,0.467,2.185
130.41,2.962,0.453,0.531
130.94,3.042,0.467,2.185
131.45,2.954,0.453,2.185
131.96,3.096,0.453,2.185
132.47,3.041,0.467,2.185
132.98,2.93,0.453,0.531
133.5,3.043,0.467,2.185
134.02,3.052,0.467,2.185
134.81,3.05,0.453,2.187
135.32,2.946,0.453,2.187
135.83,3.051,0.467,2.185
136.4,3.049,0.453,2.185
136.93,3.043,0.467,2.185
137.62,3.058,0.453,2.185
138.14,3.011,0.453,2.185
138.66,2.971,0.453,2.181
139.17,3.107,0.463,2.185
140.02,2.956,0.453,0.531
140.53,2.925,0.453,2.181
141.04,3.031,0.467,2.185
141.55,2.977,0.453,0.531
142.53,3.018,0.467,2.185
143.04,2.943,0.482,2.181
143.55,2.979,0.453,2.185
144.06,3.074,0.465,2.185
145.49,2.962,0.482,2.181
146.0,3.038,0.467,2.185
146.69,2.962,0.552,1.185
147.22,3.12,0.462,2.185
147.81,2.967,0.453,0.531
148.31,3.017,0.47,2.185
148.82,2.976,0.453,2.181
149.33,2.95,0.453,2.185
149.84,3.051,0.525,2.185
151.14,3.115,0.453,2.185
151.65,3.105,0.467,2.185
152.94,2.945,0.58,1.185
153.45,3.116,0.483,2.185
154.36,2.965,0.453,2.181
154.87,3.042,0.467,2.185
155.38,2.96,0.482,2.181
155.89,3.062,0.453,2.185
156.4,2.967,0.453,0.531
156.91,3.017,0.453,2.185
157.42,3.005,0.453,2.181
157.95,3.034,0.453,2.185
158.95,2.992,0.453,0.531
159.46,3.03,0.464,2.185
159.98,3.005,0.453,2.185
160.49,3.071,0.469,2.185
161.44,2.988,0.482,2.181
161.96,3.116,0.464,2.185
162.8,2.954,0.482,2.181
163.31,3.051,0.467,2.185
163.9,3.051,0.467,2.185
164.42,3.112,0.461,2.185
166.04,2.966,0.552,1.185
166.56,3.108,0.454,2.185
167.57,2.992,0.453,2.181
168.08,3.032,1.432,2.185
168.59,3.003,0.453,2.185
169.1,3.064,0.467,2.185
169.61,3.051,0.467,2.185
170.12,3.039,0.467,2.185
171.39,2.962,0.453,0.531
171.91,3.025,0.453,2.185
172.42,2.991,0.453,2.181
172.93,3.038,0.453,2.185
173.89,2.961,0.566,0.732
174.43,3.046,0.467,2.185
175.14,3.049,0.453,2.185
175.65,2.974,0.453,2.185
176.16,3.046,0.467,2.185
176.72,3.045,0.453,2.185
177.23,3.049,0.979,2.185
178.27,3.052,0.472,2.185
178.79,3.058,0.922,2.185
179.93,3.056,0.453,2.185
180.44,2.953,0.453,2.185
180.95,3.037,0.465,2.185
182.75,2.964,0.482,2.181
183.25,3.116,0.462,2.185
183.83,3.03,0.453,2.181
184.34,3.11,0.453,2.185
184.85,2.958,0.453,2.185
185.36,3.089,0.453,2.185
185.86,2.96,0.545,1.185
186.42,3.054,1.263,2.185
187.27,3.122,0.453,2.185
187.78,3.105,0.463,2.185
188.91,2.963,0.453,2.181
189.41,3.052,0.467,2.185
189.92,2.952,0.453,2.185
190.43,3.045,0.467,2.185
190.94,3.041,0.453,2.185
191.44,3.005,0.504,2.185
