t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
132.41,2.942,0.453,0.531
132.92,2.931,0.467,2.185
133.43,2.982,0.465,2.185
134.34,2.857,0.453,2.181
134.86,3.002,0.462,2.185
135.4,2.922,0.453,2.181
135.91,2.841,0.482,2.181
136.42,2.934,0.467,2.185
136.93,2.927,0.467,2.185
137.44,2.844,0.453,0.531
137.95,2.868,0.453,2.185
138.46,2.932,0.464,2.185
138.97,2.861,0.453,2.181
139.48,2.931,0.503,2.185
139.99,2.86,0.453,2.185
140.51,2.931,0.922,2.185
141.06,2.943,0.467,2.185
141.6,2.972,0.455,2.185
143.2,2.843,0.453,2.181
143.71,2.843,0.503,2.185
144.22,2.884,0.453,2.181
144.73,2.919,0.467,2.185
145.24,2.93,0.453,2.185
145.75,2.927,0.866,2.185
146.61,2.991,0.453,2.185
147.11,2.923,0.467,2.185
148.36,2.934,0.457,2.185
148.87,2.927,1.093,2.185
150.02,2.942,0.453,2.185
150.53,2.936,0.467,2.185
151.91,2.934,0.453,2.185
152.44,2.928,0.467,2.185
153.21,2.927,0.453,2.185
153.71,2.828,0.453,2.185
154.22,2.881,0.467,2.185
154.91,2.93,0.506,2.185
155.45,2.873,0.453,0.531
156.2,2.886,0.453,0.531
156.71,2.951,0.453,0.531
157.22,3.04,0.453,0.531
