t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
132.79,3.015,0.467,2.185
133.72,2.904,0.453,2.181
134.23,2.949,1.206,2.185
134.77,2.865,0.453,0.531
135.29,2.954,0.507,2.185
135.81,2.874,0.453,2.185
136.32,2.953,0.467,2.185
136.89,2.951,0.453,2.185
137.4,2.889,0.453,2.185
137.91,3.021,0.453,2.185
138.42,2.934,0.453,2.181
138.93,2.96,0.469,2.185
139.44,2.889,0.453,2.185
139.96,2.955,0.453,2.185
140.52,2.959,0.453,2.185
141.04,3.001,0.464,2.185
142.41,2.863,0.453,2.181
142.92,2.955,0.467,2.185
143.43,2.959,0.512,2.185
143.94,2.953,0.467,2.185
144.75,2.955,0.469,2.185
145.26,3.019,0.468,2.185
146.1,2.868,0.453,0.531
146.62,2.961,0.467,2.185
147.76,3.023,0.453,2.185
148.3,2.957,0.467,2.185
149.52,2.956,0.465,2.185
150.04,2.951,0.467,2.185
151.41,2.949,0.453,2.185
151.94,2.945,0.695,2.185
152.68,2.943,0.453,2.185
153.19,2.951,0.453,2.185
153.71,2.952,0.467,2.185
154.47,2.956,0.453,2.185
154.99,2.903,0.453,0.531
155.78,2.91,0.453,0.531
156.29,2.975,0.453,0.531
156.8,3.073,0.453,0.531
