#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:09:58       0      0      0      0      0      0      0     92     13      0 
 20260722    03:09:59       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:00       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:01       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:02       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:03       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:04       0      0      0      0      0      0      0     92     13      0 
 20260722    03:10:05       0      0      0      0      0      0      0    685     15      0 
 20260722    03:10:06       0     10      1      0      0      0      0   1527     15      0 
 20260722    03:10:07       0     13      5      0      0      0      0   7985     15      0 
 20260722    03:10:08       0     25      2      0      0      0      0   1287     15      0 
 20260722    03:10:09       0     89     49      0      0      0      0   2785     15      0 
 20260722    03:10:10       0     55     30      0      0      0      0   2785     15      0 
 20260722    03:10:11       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:12       0     27     12      0      0      0      0   2785     15      0 
 20260722    03:10:13       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:14       0     17      1      0      0      0      0   2785     15      0 
 20260722    03:10:15       0     70     38      0      0      0      0   2785     15      0 
 20260722    03:10:16       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:17       0     59     33      0      0      0      0   2785     15      0 
 20260722    03:10:18       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:19       0     40     22      0      0      0      0   2785     15      0 
 20260722    03:10:20       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:21       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:22       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:23       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:24       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:25       0     35     18      0      0      0      0   2785     15      0 
 20260722    03:10:26       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:27       0      3      2      0      0      0      0   2785     15      0 
 20260722    03:10:28       0     11      0      0      0      0      0   2781     15      0 
 20260722    03:10:29       0      8      0      0      0      0      0   2785     15      0 
 20260722    03:10:30       0     25      5      0      0      0      0   2785     15      0 
 20260722    03:10:31       0     19      9      0      0      0      0   2787     15      0 
 20260722    03:10:32       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:10:33       0      2      1      0      0      0      0   2785     15      0 
 20260722    03:10:34       0     18      9      0      0      0      0   1207     15      0 
 20260722    03:10:35       0     44     23      0      0      0      0   2785     15      0 
 20260722    03:10:36       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:37       0     46     24      0      0      0      0   2783     15      0 
 20260722    03:10:38       0      0      0      0      0      0      0   2787     15      0 
 20260722    03:10:39       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:10:40       0     20      3      0      0      0      0   2787     15      0 
 20260722    03:10:41       0     22      4      0      0      0      0   2783     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %     MB     MB     MB 
 20260722    03:10:42       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:10:43       0      2      1      0      0      0      0   2781     15      0 
 20260722    03:10:44       0      9      0      0      0      0      0   2785     15      0 
 20260722    03:10:45       0     30     16      0      0      0      0   2785     15      0 
 20260722    03:10:46       0     22     10      0      0      0      0   1831     15      0 
 20260722    03:10:47       0     68     38      0      0      0      0   2781     15      0 
 20260722    03:10:48       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:10:49       0     28      9      0      0      0      0   2785     15      0 
 20260722    03:10:50       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:10:51       0      4      2      0      0      0      0   2781     15      0 
 20260722    03:10:52       0      2      2      0      0      0      0   2783     15      0 
 20260722    03:10:53       0     70     38      0      0      0      0   2783     15      0 
 20260722    03:10:54       0     26     12      0      0      0      0   2785     15      0 
 20260722    03:10:55       0     32     18      0      0      0      0   2781     15      0 
 20260722    03:10:56       0     74     41      0      0      0      0   2781     15      0 
 20260722    03:10:57       0     73     40      0      0      0      0   2781     15      0 
 20260722    03:10:58       0     48     25      0      0      0      0   2785     15      0 
 20260722    03:10:59       0     17      9      0      0      0      0   2785     15      0 
 20260722    03:11:00       0      0      0      0      0      0      0   1207     15      0 
 20260722    03:11:01       0     39     21      0      0      0      0   2783     15      0 
 20260722    03:11:02       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:11:03       0      1      1      0      0      0      0   2785     15      0 
 20260722    03:11:04       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:11:05       0      1      1      0      0      0      0   2689     15      0 
 20260722    03:11:06       0     17      8      0      0      0      0   2785     15      0 
 20260722    03:11:07       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:11:08       0     25     11      0      0      0      0   2785     15      0 
 20260722    03:11:09       0      0      0      0      0      0      0   2781     15      0 
 20260722    03:11:10       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:11:11       0     16      3      0      0      0      0   2787     15      0 
 20260722    03:11:12       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:11:13       0     18      0      0      0      0      0   2785     15      0 
 20260722    03:11:14       0     22     10      0      0      0      0   2781     15      0 
 20260722    03:11:15       0      2      0      0      0      0      0   2785     15      0 
 20260722    03:11:16       0     69     37      0      0      0      0   2785     15      0 
 20260722    03:11:17       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:11:18       0      1      1      0      0      0      0   2783     15      0 
 20260722    03:11:19       0      1      0      0      0      0      0   2785     15      0 
 20260722    03:11:20       0     60     33      0      0      0      0   2783     15      0 
 20260722    03:11:21       0      5      3      0      0      0      0   2785     15      0 
 20260722    03:11:22       0      0      0      0      0      0      0   2785     15      0 
 20260722    03:11:23       0      4      2      0      0      0      0   2785     15      0 
 20260722    03:11:24       0     82     45      0      0      0      0   2785     15      0 
 20260722    03:11:25       0     79     43      0      0      0      0   2785     15      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
