t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
120.27,3.041,0.465,2.185
121.27,2.879,0.478,0.581
121.8,3.051,0.464,2.185
122.48,2.894,0.572,1.185
123.0,2.886,0.453,2.185
123.51,3.01,0.453,2.181
124.02,2.985,0.453,2.185
124.53,2.898,0.566,0.631
125.05,2.909,0.453,2.187
125.56,2.985,0.462,2.185
126.25,2.896,0.566,1.185
126.77,2.983,0.467,2.187
127.28,3.043,0.462,2.185
127.92,2.899,0.564,1.185
128.44,2.975,0.5,2.185
128.95,2.887,0.566,0.682
129.47,2.964,0.467,2.185
129.99,2.877,0.453,0.531
130.65,2.889,0.453,2.185
131.16,2.971,0.467,2.185
131.67,2.89,1.002,1.609
132.18,2.978,0.453,2.185
132.69,2.883,0.453,2.185
133.2,2.958,0.453,2.181
133.72,3.046,0.462,2.185
134.31,2.884,0.541,0.732
134.83,2.98,0.467,2.185
135.34,2.976,0.453,2.185
135.84,2.99,0.467,2.181
136.35,2.971,0.453,2.185
136.87,2.905,0.453,2.185
137.38,2.972,0.467,2.185
137.88,2.88,0.516,0.581
138.49,3.038,0.463,2.185
139.12,2.88,0.55,1.185
139.65,2.961,0.582,2.187
140.17,2.972,0.456,2.185
140.86,2.893,0.566,0.732
141.39,3.042,0.464,2.185
141.96,2.88,0.529,0.581
142.48,2.909,0.453,2.185
142.99,2.972,0.463,2.185
144.35,2.88,0.541,1.185
144.88,2.883,0.453,0.531
145.39,2.984,0.453,2.185
145.9,2.876,0.453,0.531
146.51,2.877,0.453,0.531
147.34,2.877,0.466,0.531
147.86,2.965,0.453,2.185
148.37,2.97,0.584,2.185
148.93,2.892,0.453,0.531
149.46,3.051,0.457,2.185
150.67,2.895,0.466,0.531
151.19,3.038,0.464,2.185
151.96,2.895,0.548,1.185
152.49,3.055,0.462,2.185
153.1,2.883,0.566,0.682
153.63,2.896,0.552,1.185
154.14,2.965,0.467,2.185
154.65,2.97,0.573,2.185
155.23,2.879,0.453,0.531
155.75,3.051,0.468,2.185
156.82,2.895,0.563,1.185
157.36,3.041,0.467,2.185
158.57,2.895,0.466,0.531
159.09,3.038,0.467,2.185
160.11,2.879,0.453,0.531
160.63,2.886,0.453,2.185
161.18,2.936,0.453,0.531
161.69,2.952,0.467,2.185
162.27,2.876,0.453,0.531
162.8,2.952,0.467,2.185
163.31,2.964,0.513,2.185
163.82,3.036,0.453,2.185
165.17,2.912,0.453,0.531
165.68,2.868,0.453,2.185
166.19,2.968,0.467,2.185
166.7,2.979,0.453,2.185
167.21,3.048,0.466,2.185
168.23,2.896,0.453,0.531
168.75,3.037,0.465,2.185
169.77,2.88,0.453,0.531
170.3,3.048,0.462,2.185
171.11,2.979,0.453,2.185
171.63,3.037,0.473,2.185
173.4,2.88,0.453,0.531
173.93,3.044,0.463,2.185
175.01,2.894,0.453,0.531
175.53,2.985,0.467,2.185
176.05,2.973,0.453,2.185
176.57,2.885,0.453,0.531
177.09,2.894,0.453,2.185
177.6,3.036,0.467,2.185
178.11,3.101,0.463,2.185
179.09,2.955,0.453,0.531
179.61,2.968,0.546,2.185
180.15,2.953,0.453,0.531
180.67,3.055,1.319,2.185
181.58,2.984,0.482,2.185
182.11,3.042,0.458,2.185
182.95,2.886,0.578,1.185
183.48,2.988,0.467,2.185
183.98,3.05,0.453,2.185
184.54,2.883,0.552,1.185
185.08,3.047,0.456,2.185
186.09,2.883,0.533,1.185
186.64,2.972,0.454,2.185
187.63,2.896,0.564,1.185
188.15,2.916,0.453,2.185
188.67,2.973,0.465,2.185
190.55,2.896,0.466,0.531
191.08,3.045,0.462,2.185
191.71,2.896,0.579,1.185
192.23,2.975,0.467,2.185
192.74,2.983,0.453,2.185
193.25,2.948,0.453,2.181
193.76,2.992,0.467,2.185
194.27,3.002,0.473,2.185
195.4,2.895,0.563,1.185
195.93,2.985,0.463,2.185
196.91,2.897,0.55,1.185
197.43,2.989,0.47,2.185
197.95,2.882,0.453,2.185
198.46,3.0,0.453,2.181
198.97,2.983,0.458,2.185
199.48,2.983,0.504,2.185
199.99,2.879,0.453,0.531
200.51,2.987,0.496,2.185
201.04,2.884,0.453,0.531
201.57,2.992,0.459,2.185
202.09,2.884,0.453,0.531
202.61,2.888,0.453,2.185
203.13,2.974,0.453,2.181
203.63,2.976,0.453,2.185
204.15,2.924,0.453,2.181
204.66,3.043,0.466,2.185
205.55,2.88,0.453,0.531
206.16,3.051,0.464,2.185
207.22,2.88,0.453,0.531
207.74,2.88,0.453,2.187
208.25,2.962,0.453,2.181
208.76,2.907,0.453,2.187
209.27,2.982,0.464,2.185
210.12,2.877,0.534,1.185
210.65,3.047,0.466,2.185
211.42,2.896,0.453,0.531
212.03,3.037,0.465,2.185
213.38,2.896,0.572,1.185
213.91,3.044,0.473,2.185
214.75,2.885,0.541,1.185
215.28,2.98,0.466,2.185
215.87,2.887,0.529,0.581
216.39,3.044,0.468,2.185
217.73,2.895,0.548,1.185
218.27,2.973,0.463,2.185
219.6,2.897,0.545,1.185
220.13,3.039,0.47,2.185
220.99,2.895,0.6,1.185
221.52,3.039,0.469,2.185
222.46,2.983,0.453,2.185
223.0,3.045,0.467,2.185
224.52,2.886,0.453,0.531
225.06,3.04,0.453,2.185
226.13,2.895,0.568,1.185
226.66,2.983,0.467,2.185
227.17,2.898,0.453,0.531
227.68,2.945,0.467,2.185
228.18,2.972,0.454,2.185
229.02,2.893,0.566,0.732
229.54,2.942,0.453,2.185
230.05,2.972,0.466,2.185
231.18,2.895,0.667,0.732
231.7,2.988,0.462,2.185
232.26,2.884,0.466,0.531
232.79,2.98,0.467,2.185
233.3,2.987,0.462,2.185
234.12,2.877,0.453,0.531
234.64,2.886,0.453,2.187
235.14,3.031,0.453,2.181
235.65,2.869,0.453,2.185
236.16,2.989,0.453,2.181
236.68,2.986,0.464,2.185
237.51,2.897,0.453,0.531
238.05,3.037,0.464,2.185
238.79,2.88,0.563,1.185
239.32,3.055,0.463,2.185
239.9,2.896,0.453,0.531
240.42,2.905,0.453,2.185
240.93,2.984,0.459,2.185
241.89,2.899,0.453,0.531
242.42,3.044,0.464,2.185
243.22,2.896,0.594,1.185
243.75,3.06,0.464,2.185
244.48,2.901,0.453,0.531
245.02,3.04,0.466,2.185
245.62,2.879,0.453,0.531
246.14,3.037,0.476,2.185
247.4,2.984,0.542,2.185
247.93,3.035,0.47,2.185
249.59,2.984,0.453,2.185
250.1,3.038,0.465,2.185
251.57,2.897,0.535,1.185
252.11,3.043,0.463,2.185
252.75,2.881,0.453,0.531
253.27,2.91,0.453,2.185
253.78,2.973,0.467,2.185
254.3,2.972,0.462,2.185
255.38,2.881,0.453,0.531
255.9,2.968,0.639,2.185
256.41,2.973,0.465,2.185
257.4,2.881,0.548,1.185
257.94,3.04,0.466,2.185
258.69,2.897,0.58,1.185
259.22,3.043,0.465,2.185
260.22,2.881,0.541,1.185
260.75,3.043,0.455,2.185
261.43,2.897,0.545,1.185
261.95,2.886,0.453,2.185
262.46,2.952,0.453,2.181
262.97,2.972,0.497,2.185
263.52,2.881,0.453,0.531
264.05,3.04,0.453,2.185
264.7,2.881,0.572,1.185
265.23,3.04,0.467,2.185
266.28,2.897,0.554,1.185
266.81,3.04,0.462,2.185
267.63,2.881,0.453,0.531
268.15,3.043,0.454,2.185
268.78,2.897,0.541,1.185
269.31,2.932,0.453,2.185
269.82,2.973,0.464,2.185
271.16,2.897,0.564,1.185
271.69,3.043,0.466,2.185
272.53,2.881,0.541,1.185
273.06,3.043,0.469,2.185
273.78,2.984,0.453,2.185
274.3,3.038,0.472,2.185
276.13,2.881,0.453,0.531
276.74,3.043,0.467,2.185
278.09,2.897,0.453,0.531
278.63,3.04,0.469,2.185
279.28,2.985,0.453,2.185
279.79,3.035,0.469,2.185
281.72,2.985,0.453,2.185
282.23,3.038,0.456,2.185
283.97,2.881,0.453,0.531
284.49,3.041,0.459,2.185
285.72,2.893,0.466,0.531
286.25,2.971,0.542,2.185
286.78,2.88,0.994,1.185
287.33,2.984,0.466,2.185
288.63,2.896,0.545,1.185
289.16,3.056,0.467,2.185
290.32,2.9,0.552,1.185
290.85,3.051,0.465,2.185
291.66,2.899,0.453,0.531
292.2,3.055,0.467,2.185
293.17,2.987,0.453,0.531
293.69,3.043,0.466,2.185
295.1,2.897,0.539,1.185
295.63,3.057,0.464,2.185
296.29,2.897,0.563,1.185
296.82,2.887,0.453,2.185
297.33,3.007,0.453,2.181
297.84,2.988,0.466,2.185
298.47,2.884,0.58,1.185
299.0,3.048,0.453,2.185
299.79,2.984,0.453,0.531
300.33,3.052,0.469,2.185
301.54,2.996,0.453,2.185
302.05,3.039,0.47,2.185
303.57,2.897,0.453,0.531
304.1,3.043,0.469,2.185
305.42,2.9,0.552,1.185
305.95,3.042,0.454,2.185
307.18,2.88,0.539,1.185
307.71,2.98,0.453,2.185
308.22,2.887,0.453,2.181
308.74,3.047,0.469,2.185
309.68,2.896,0.552,1.185
310.21,3.051,0.462,2.185
311.45,2.89,0.541,1.185
311.97,3.043,0.464,2.185
313.05,2.987,0.453,2.185
313.56,3.042,0.471,2.185
315.09,2.977,0.499,2.185
315.6,3.097,0.465,2.185
317.04,2.94,0.453,0.531
317.57,3.058,0.695,2.185
318.5,3.105,0.453,2.185
319.02,3.138,0.464,2.185
319.78,2.956,0.453,0.531
320.3,3.114,0.466,2.185
321.28,2.94,0.594,1.185
321.81,3.069,1.149,2.185
322.9,3.11,0.453,2.185
323.42,3.135,0.456,2.185
325.08,2.974,0.453,0.531
325.6,3.036,1.206,2.185
326.27,3.043,0.453,2.185
326.79,3.068,0.467,2.185
327.47,3.055,0.466,2.185
327.99,3.077,0.639,2.185
329.03,3.105,0.453,2.185
329.55,3.033,0.467,2.185
330.62,3.035,0.523,2.185
331.14,3.122,0.47,2.185
332.49,2.956,0.466,0.531
333.02,3.048,0.467,2.185
333.95,3.106,0.465,2.185
334.48,3.102,0.469,2.185
335.67,3.035,0.453,2.185
336.19,3.118,0.467,2.185
337.66,2.96,0.453,0.531
338.18,3.043,0.467,2.185
339.23,3.043,0.453,2.185
339.76,3.055,0.467,2.185
340.97,2.957,0.453,0.531
