t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
132.58,2.968,0.467,2.185
133.47,2.967,0.453,2.185
133.99,2.976,0.467,2.185
134.58,2.872,1.237,2.181
135.1,2.967,0.453,2.185
135.62,2.951,0.467,2.185
136.13,2.968,0.467,2.185
136.68,2.967,0.453,0.531
137.19,2.938,1.092,2.185
137.71,2.967,0.453,2.185
138.22,2.93,0.467,2.181
138.74,2.979,0.453,2.185
139.25,2.968,0.467,2.185
139.76,2.968,0.467,2.185
140.27,2.975,0.453,2.185
140.78,3.04,0.463,2.185
142.47,2.872,0.466,0.531
143.0,2.968,0.467,2.185
143.51,2.979,0.453,0.531
144.02,2.981,0.467,2.185
144.59,2.979,0.504,2.185
145.12,2.968,0.467,2.185
145.9,2.967,0.515,2.185
146.41,2.968,1.092,2.185
147.6,3.038,0.465,2.185
148.12,3.02,0.469,2.185
149.29,2.879,0.453,0.531
149.82,2.981,0.467,2.185
150.95,2.98,0.453,2.185
151.47,2.969,0.467,2.185
152.2,2.967,0.453,2.185
152.72,2.88,0.453,2.185
153.23,2.956,0.467,2.185
153.91,2.967,0.453,0.531
154.42,2.923,0.453,0.531
155.22,2.93,0.453,0.531
155.73,3.001,0.453,0.531
156.24,3.077,0.453,0.531
