t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
0.0,0.633,0.0,0.0
0.53,0.709,0.0,0.0
1.04,0.795,0.0,0.0
1.54,0.82,0.0,0.0
2.05,0.853,0.0,0.0
2.56,0.871,0.0,0.0
3.07,0.889,0.0,0.0
3.58,0.878,0.0,0.0
4.08,0.884,0.0,0.0
4.6,0.89,0.0,0.0
5.1,0.895,0.0,0.0
5.6,0.878,0.0,0.0
6.15,1.029,0.0,0.0
6.79,1.271,0.007,0.094
7.3,1.624,0.084,0.094
7.81,1.643,0.263,0.663
8.32,1.695,0.59,0.724
8.83,1.913,9.293,9.355
9.34,1.972,0.444,0.835
9.85,2.645,0.479,0.614
10.36,2.807,0.453,2.181
10.87,2.942,0.468,2.185
11.6,2.882,0.453,2.185
12.11,2.948,0.469,2.185
13.51,2.799,1.27,1.877
14.03,2.954,0.464,2.185
14.86,2.865,0.453,2.181
15.37,2.89,0.467,2.185
15.9,2.944,0.472,2.185
16.68,2.802,0.552,1.185
17.2,2.963,0.469,2.185
18.24,2.895,0.453,2.185
18.76,2.951,0.468,2.185
20.25,2.804,0.563,1.185
20.8,2.949,0.467,2.185
21.86,2.791,0.453,2.181
22.38,2.883,0.469,2.185
23.2,2.803,0.482,2.181
23.73,2.951,0.465,2.185
24.88,2.791,0.453,2.181
25.39,2.958,0.468,2.185
26.24,2.899,0.453,0.531
26.75,2.95,0.466,2.185
28.27,2.949,0.453,0.531
28.79,2.943,0.467,2.185
29.87,2.954,0.453,2.185
30.38,2.959,0.467,2.185
30.89,2.85,0.482,2.181
31.39,2.951,0.467,2.185
31.9,2.951,0.467,2.185
32.41,2.862,0.453,0.531
32.93,2.854,0.453,2.187
33.44,2.951,1.319,2.185
34.09,2.95,0.453,2.185
34.61,2.947,0.467,2.185
35.4,2.945,0.453,2.185
35.9,2.854,0.453,2.185
36.41,2.951,0.467,2.185
36.92,2.95,0.453,2.185
37.44,3.015,0.467,2.185
38.72,2.849,0.453,0.531
39.24,2.946,0.467,2.185
40.4,2.944,0.453,2.187
40.91,2.943,0.639,2.185
41.48,2.941,0.453,2.185
41.99,2.951,0.467,2.185
42.49,2.95,0.51,2.187
43.02,2.946,0.866,2.185
43.78,2.949,0.453,2.187
44.3,2.95,0.467,2.185
45.06,2.949,0.453,2.185
45.57,2.853,0.453,2.185
46.08,2.946,0.467,2.185
46.69,2.95,0.453,2.185
47.2,2.871,0.453,2.185
47.71,2.905,0.455,2.185
48.22,2.842,0.579,1.185
48.74,2.854,0.453,2.185
49.25,2.955,0.467,2.185
50.4,3.017,0.453,2.185
50.92,3.019,0.464,2.185
52.16,2.864,0.482,2.181
52.66,3.007,0.453,2.185
53.17,2.88,0.453,2.181
53.68,2.943,0.454,2.185
54.19,2.91,0.453,2.181
54.7,2.874,0.453,2.185
55.22,2.945,0.922,2.185
55.89,2.943,0.501,2.187
56.4,2.943,0.526,2.185
57.02,2.862,0.453,0.531
57.62,2.95,0.458,2.185
58.13,2.849,0.453,2.181
58.64,2.857,0.453,2.185
59.16,2.889,0.554,2.185
59.92,2.957,0.453,2.185
60.44,2.945,0.517,2.185
60.95,2.856,0.453,2.181
61.46,2.948,0.454,2.185
62.35,2.898,0.453,2.181
62.86,2.866,0.453,2.185
63.38,2.952,0.467,2.185
65.27,3.021,0.464,2.185
65.8,2.956,0.467,2.185
67.23,3.025,0.465,2.185
67.75,2.952,0.752,2.185
69.41,2.95,0.522,2.185
69.93,2.943,0.525,2.185
71.18,2.942,0.493,2.185
71.71,2.95,0.467,2.185
72.51,2.948,0.453,2.185
73.02,2.943,0.453,2.187
73.53,2.886,0.866,2.185
74.49,2.951,0.453,2.185
75.01,2.952,0.467,2.185
75.52,2.852,0.482,2.181
76.03,2.86,0.453,2.185
76.56,2.943,0.922,2.185
77.64,2.942,0.453,2.185
78.15,2.947,0.467,2.185
78.73,2.95,0.514,2.185
79.25,2.951,0.539,2.185
80.08,2.954,0.519,2.185
80.6,2.95,0.639,2.185
81.94,3.019,0.464,2.185
82.47,2.958,0.467,2.185
83.68,3.03,0.453,2.185
84.2,2.95,0.467,2.185
85.62,2.948,0.453,2.185
86.13,2.943,0.866,2.185
86.95,2.942,0.453,2.185
87.47,2.941,0.542,2.185
87.98,2.862,0.453,2.181
88.5,2.959,0.467,2.185
89.87,2.958,0.516,2.185
90.39,2.952,0.639,2.185
92.14,2.95,0.496,2.185
92.66,2.956,0.582,2.185
93.84,2.955,0.453,2.185
94.36,3.005,0.453,2.185
94.86,2.851,0.453,0.531
95.39,2.954,0.467,2.185
96.12,3.017,0.453,2.185
96.64,2.958,0.467,2.185
97.84,3.025,0.453,2.185
98.37,2.95,0.467,2.185
99.7,2.858,0.453,2.181
100.21,2.959,0.467,2.185
100.71,2.947,1.206,2.185
101.23,2.97,0.453,2.185
101.74,2.941,0.467,2.185
103.22,2.952,0.453,2.185
103.74,2.946,0.467,2.185
104.49,2.849,0.453,0.531
105.01,3.006,0.453,2.185
105.52,2.85,0.453,2.181
106.03,2.946,0.639,2.185
107.0,2.957,0.453,2.185
107.52,2.95,0.467,2.185
108.36,3.015,0.453,2.185
108.87,3.015,0.469,2.185
110.14,2.957,0.453,2.185
110.66,3.025,0.466,2.185
111.87,2.859,0.482,2.181
112.39,2.956,0.467,2.185
113.13,3.025,0.465,2.185
113.65,3.005,0.462,2.185
115.05,2.939,0.453,2.181
115.56,3.012,0.453,2.185
116.07,2.951,0.453,2.185
